airline_sentiment,text
negative,im trouble adding flight wife booked elevate account help httptcopxhqoksr
neutral,cant bring reservation online using flight booking problem code
neutral,random q whats distribution elevate avatar bet kitty disproportionate share httptcoaptzpurop
neutral,lt flying va life happens trying change trip jperhi helpva home page let
negative,site back
neutral,rnp yeah know
neutral,hi get point elevate account recent flight add flight point account
negative,like tv interesting video disappointed cancelled flightled flight flight went jfk saturday
negative,landed lax hour late flight bag check business travel friendly nomorevirgin
neutral,flight redirected
negative,website btw new website isnt great user experience time another redesign
negative,cant check add bag website isnt working ive tried desktop mobile httptcoavyqdmpiy
negative,let scanned passenger leave plane told someone remove bag st class bin uncomfortable
negative,phone number cant find call flight reservation
negative,anyone anything today website useless one answering phone
neutral,trying add boy prince ressie sf thursday lax httptcogsbjcgm
negative,must traveler miss flight late flight check bag missed morning appointment lost business sfolax
neutral,check new music httptcomarcnocwzn
negative,hows direct flight fllgtsfo unexpected layover vega fuel yet peep next bought vega flight sneaky
negative,late flight bag check lost business missed flight apt three people flight exp
positive,amazing customer service raeann sf shes best customerservice virginamerica flying
negative,called service line hung awesome sarcasm
negative,site tripping im trying check im getting plain text version reluctant enter card info
neutral,scheduled sfo dal flight today changed th due weather look like flight still
positive,getaway deal may oneway lot cool city httptcotzzjhuibch cheapflights farecompare
neutral,getaway deal may oneway lot cool city httptcorpdbpxwnd cheapflights farecompare
positive,getaway deal may oneway lot cool city httptcobxiygt cheapflights farecompare
neutral,getaway deal may oneway lot cool city httptcoqdljhsloi cheapflights farecompare
positive,great week
positive,come back phl already need take u horrible cold pleasecomeback httptcoglxfwpnqh
negative,concerned fly plane need delayed due tech stop
positive,best airline flown oneasy change reservationhelpful representative amp comfortable flying experience
positive,another rep kicked butt naelah represents team beautifully thank
positive,beautiful frontend design right cool still book ticket bc backend secure
positive,love team running gate e la tonight waited delayed flight kept thing entertaining
negative,use another browser amp brand reputation built tech response doesnt crossbrowser compatible website
negative,flight flight booking problem site totally folk problem
negative,like customer service min delay connecting passenger seems long va
positive,thanks outstanding nycjfk crew moved mountain get home san francisco tonight
positive,absolute best team customer service ever every time fly im delighted thank
neutral,provide complimentary upgrade first class available seat
negative,need change flight thats scheduled hour min wait time phone im calling intern help
positive,completely awesome experience last month boslas nonstop thanks awesome flight depart time vabeatsjblue
neutral,watch oscar jfkgtsfo flight
neutral,flight cancelled flightled
negative,failing customer check process link tsa precheck
negative,u terrible airline gave u hotel hotline number said sorry
neutral,flight number sfo cabo san lucas arrived yet
negative,assistance yesterday u cancelled flightled flight give u hotel hotline shame
negative,another delayed flight likingyoulessandless
negative,need register service dog first class ticket sfo gt dulles phone queue hour longer pls advise
positive,rock making watch oscar flight redcarpet oscar oscar
neutral,dropped track httpstcozvpttrk
positive,always xoxo
negative,cant book seat flight buy even check creates much anxiety frustrated
negative,youd think paying extra buck luggage might afford hiring extra hand lame
positive,best customer service rep world irmafromdallas take cake
neutral,find u flt lax sooner midnight monday would great customer service
negative,please provide status flight cant imagine time web indicates dude weather andor dallas
positive,amazing staff amp super helpful ran princesshalf spoiled comfort
negative,paid premium fly across country cancelled flight flight offer check fee upgrade love sad face
negative,question possible book seat infant giving option want seat
positive,always together youre welcome youre welcome
positive,flight home dc sunset globe backtowinter back work refreshed httptcovxvbctdlf
negative,dont understand need dm give answer damaged luggage policy
negative,mean dont policy destroyed luggage
neutral,special assistance travel alone w kid infant priority boarding
positive,thank checking ticket purchased customer happy
neutral,website ever coming back online
neutral,flight love field sfo definitely cancelled flightled monday february
neutral,flight lga dfw time
neutral,driver license expired little month fly friday morning using expired license
negative,problem flight booking problem web site keep giving error contact phone phone minute wait
negative,reschedule cancelled flightled flight online change button greyed
negative,rang wait minute book ticket vendor fix site
negative,got flight told todaychecked email tomorrow unacceptable
negative,flight lga cancelled flighted stuck dallas called reschedule told could get flight today
negative,dont pairing include red wine white offered redwineisbetter
negative,website
negative,site seems little wonked right may want look tried two browser cs httptcoqsqmmkf
negative,im disappointed agent designated silver status check line _airport closed assist pasengers
neutral,plan include austin dallas route topnews arab emirate httptcoaqzwecokk
negative,normal receive reply central baggage baggageissues smh
negative,logan airport waiting checkin flight checkin desk open
neutral,jump dallasaustin market _news httptcoewwgigdx
neutral,beat eps view take southwestair va luv investor business daily httptcoflwmgdahxu
neutral,lister show monday
neutral,begin dallasaustin flight april ketr httptcossuvwwkyhh
negative,congrats got business ewr sfolax fuck fl sfoewr clincher
negative,applied week ago havent heard back im flying week disappointed
neutral,id love know policy damaged luggage
positive,thank follow
negative,many apology r worse airline dont even respond cudtomers
negative,shame va making people spend money stranded city airline landing jfk reimburse
neutral,dm
neutral,please flight sjc choice fly southwest vega
negative,bad say take day via confirmation email inquired week claim week
negative,flight bos gt la tomorrow cancelled flightled notification wait time hour rebook another airline
positive,youve met match got status another airline upgrade restr httptcorhkamxvf httptcopyalebgkjt
positive,way fly elevate gold
neutral,guy flight cmh
negative,lot apology thrown customer seevery sad thanks nothing worst airline ever
negative,flight stuff wrong nothing worst flight ever
neutral,issue finding missing item plane help find airport plane headed next
positive,match americanairlines status cool
neutral,youve met matchgot status another airline upgrade httptcohrdktqy _es_ar
negative,trying book flight guy website wont let lose business
negative,suck
positive,thanks
negative,dmd issue persisting
negative,never recd cancelled flightlation notice left w option fly p driving la red eye mon w kid
negative,trying book flight amp site
negative,flight flying boston tomorrow need home cancelled flightled flight didnt anything
negative,stink flight cancelled flighted psp jfk notification ability rebook disappointed expected better
positive,love guy song dancing high school dance revue
negative,website im trying check
positive,done thank quick response apparently faster sitting hold
neutral,nervous flight dc lax getting cancelled flightled tomorrow sent dm help
positive,cool picture another virginamerica plane wing site httptcobagfdc
positive,keep great work
positive,goodness people field amazing pressure texas beatstheothers crisis please fly ny
positive,thanks great flight la boston pilot great job landing snow go back la seriously
neutral,please get new york area monday afternoon
positive,thanks much awesome support guy rock
negative,seat row dont recline mention website soreback
negative,flight delayed hour la due mechanical problem handle like pro could tossed u free drink
negative,cancelled flight flight today precipitation scared
positive,twitter team guy killed rescheduling asap thank
negative,guy charged reschedule flight cancelled flighted refusing refund whats deal
negative,cant access website safari iphone seems work mac ipad need iphone add passbook
neutral,ipad iphone clicking checkin link email received hr flight
negative,mobile site broken show headerelevateusernumofpointsavailable number point wont let checkin
negative,really looking forward flight let know rescheduled diehardvirgin
negative,cancelled flight flight vx one sec delayed airport next cancelled flightledgonna email call reschedule
negative,problem link email checkin thanks
negative,change another airline get dc today able land dc cost ugh
negative,looking forward first flight today cancelled flightled along subsequent one
positive,putting great deal pdx la la pdx show love httptcoeniqgbuzj
positive,wish afford fly next friday going back home love everything airline
negative,gonna deal dallas dc deal dc dallas sad
neutral,bug report guy
negative,hold time call center bit much
positive,like httptcovpqemxuq
negative,site help
positive,best flight attendant ever httptcopxdelnql
positive,awesome watch nominated film foot meetthefleet oscar httptcodnstitrzwy
positive,thanks much
negative,trying reset password email never arrives help
positive,airline based silicon valley disruption fcmostinnovative incubator httptcowulbcncr
positive,nicely done
positive,im looking forward watching oscar flight home tomorrow might even get something bubbly drink
negative,reason delay departure vx jfk afternoon
negative,today flight palm spring ca jfk ny cancelled flightled
positive,hahaha guy amazing love guy
positive,sound like fun
neutral,update flight jfk gt lax
neutral,spruce moose
negative,cs site right please fix site unusable
negative,flight vega boston today checked online bag count didnt register fix somehow
positive,classiq luv virgin america greetingz
negative,hi im trying checkin website working tried different browser problem continues
positive,thanks great customer service today amp helping get travel sorted
positive,thanks guy sweet route rockies airplanemodewason
positive,love music blasting gate boston waiting flight sanfrancisco could get iced coffee
negative,passenger flt assaulted shouldnt flown trust he banned crew filed report
negative,current bug website show select departure city selecting destination city httptcosllyibevq
negative,luggage severely dentedmissing wheel coming baggage claim san luggage agent miranda think wasnt help
positive,thank easy itinerary shift impending weather quick painless amp free
neutral,youd love see girl inspired become pilot free woaw event march abq httptcorfxlvkgdh
positive,thanks good time back vodkatonics entire flightsfo
neutral,beat expectation share take santa cruz sentinel httptcoqmdqbaig
neutral,plan start flying direct dal la
neutral,big lovegratitudempower w httptcoagrkncpf werin oscar vipswagbags avalonhollywood httptcoybmbgsdhn
positive,youre great job adding little luxuriesaesthetics improve air travel experience thank keep
negative,requested window seat confirmed window got stuck middle seat good way treat silver member
neutral,grand budapest hotel oscarscountdown
neutral,missed next trip
negative,wtf paid direct flight purpose stop fuel exhausted frequent flier nothing inconvenience
negative,something wrong website safari iphone
positive,thanks gate checking baggage full flight dfwlax giving early boarding sweet
negative,already checked page expired x
negative,boo refunding seat upgrade fee want buy first place
neutral,share rise q financial result usa today httptcolfspefey
neutral,add pillow instead lieflat seat first class arm race httptcorgywjbbhm
positive,see
neutral,way take advantage mayweatherpacquiao
neutral,know im flying virgin fight mayweatherpacquiao
positive,inflight team make experience amazing
positive,cutest salt pepper shaker ever think guy cant get better httptcovckeulgj
negative,moved seat notice better seat cabin select behind row selected disappointed
neutral,share q result httptcoxzqegnef
positive,fav airline
positive,hot female pilot sweet dca sfo
neutral,guy going start flying paris youre welcome
neutral,policy flying surgery still waiting answer tell doctor
negative,already contacted central baggage amp sent dm charging dress lost suitcase help
positive,thank
negative,anything going website ive getting lot error past minute
neutral,think left something plane yesterday callah
neutral,need follow back order dm
neutral,need start flying
neutral,told check airline regulation first contacted
negative,checked flight sfo lax amp told atlantic flying club gold get benefit
negative,husband ordered three drink via screen never came awesome
negative,soooo guy going leave seatbelt light flight barely call turbulence
neutral,policy flying surgery
neutral,post second consecutive fullyear net profit httptcotvbzbzvhg
negative,funny story website broken missing javascript stylesheets checkin process dislike
positive,would love virgin like
neutral,result handily exceed forecast httptcogonmrwemi
neutral,applied position wondering guy received application
neutral,achieves second year profitability despite revenue pressure _aviation httptcozsuztnaijq
neutral,give positive outlook see increased competition httptcojeuodeyj
negative,im trying check ct flight tmm desktop website working sort caching bug so
neutral,weather delay gt next week jfk bos dca
neutral,check website go airport
negative,guy know checkin link email broken httptconpxbobmr
neutral,pilot say expect choppy landing nyc due gusty wind wa temperature degree amp wthe windchill
positive,loved cant wait monday return flight mostly watch inflight safety video sorrynotsorry
negative,lost luggage day ago flight vx lax iad amp im calling every day responseplease give back stuff
negative,flight booking problem section website seems broken chrome might wanna look
positive,hi wanted see new route planned year newark love flying guy hope
positive,mean probably inappropriate board
positive,happy spend day together let
neutral,saving sanity right httptcoeltboljul
neutral,missed flight standby work
positive,understanding helped thx comp
neutral,brought way across country today see httptcotkauygcpms
positive,thank absolutely
negative,look like broken link asset httpstcooardjjgrrd
neutral,ready let say together noooo turbulence today
negative,manage itinerary section website seems broken httpstcopujvcelng
negative,cant check site look like every time load httptcokacyawdbw
neutral,u help _fund need urgent treatment iny old battling cancer could u help flight freyasfund
neutral,may start service hawaii sanfrancisco year httptcoyponyprzl biztravel
negative,carrier less half price round trip fare stunned httptcoukdjjijrow
negative,wtf happening pdx late flight march one way sfo
neutral,add dtw im sold
positive,free drink flight back free promo
positive,thanks
neutral,momma made
neutral,please contact portfolio left flight vx jfk sfo tonite seat need returned call
neutral,help flight jkf tonight seat c left portfolio need back
neutral,seattle bound wifey got duffle vday shes keeper holla httptcojloiblnair
negative,luggage gone ive filed paperwork promised callemail still resolution response central luggage
neutral,debbie baldwin gave rockstar performance safety demo evening vx lassfo bestcrew sherocks
positive,thanks
positive,thanks taking care flight rockstars travel
positive,thanks lovely soft view travel san sfo httptcocnctlgef
negative,requested mileage challenge status several week ago online havent heard back get help
negative,trying book ticket nyc facing super fun broken styling dont worry ill keep trying
neutral,many thanks follow ourprincess freyasfund usa bandie looking help httptcoujfszikd
neutral,nice lofty view silverstatus httptcoftpdawbd
negative,applied status match feb got confirmation email day still news though guy dropped ball late flightly
neutral,new go airline
neutral,help ourprincess need help usa httptcoaztdaer
positive,adore looking forward flight austin two week
positive,glad mentioned took first virgin flight year back transformative experience
neutral,flight booking problem flight uphold status match tax ticket count earned status point statusmatch virginamerica
negative,trying checkinbut look like site
negative,spending birthday night daldca get home
negative,sent couple message email provided avail try next year cheer
positive,first time flying virgin went sanfrancisco thanks smooth ride easily new fav airline
negative,seriously though direct flight sfofll may
negative,fine already done purchase try go way go back
negative,really experience hoping w forced check small carry w nothing empty cabin space board
negative,wjere luggage slow lax
neutral,jump dallas austin market httptcoszrpioa
negative,spoke representative offered solution loyal customer fly well
negative,deeply disappointed birthday promo applied trip booked mere day received email
negative,happened direct flight sfofll looking may see connecting help dontdothistome
neutral,help left blazer kooples jacket bag rd row second seat right gate lax flight sfo
neutral,partner checkout mobile payment method help boost mobile conversion rate etailwest payment visa
positive,promoting product problem southwest recommend noneother best httptcotfanxbhcf
positive,love guy pls get direct route la au
neutral,would like help flight please
neutral,bruh turn vxsafetydance
positive,course work im obsessed entire virgin family
positive,ok first time flying tonight
neutral,digging swanky pink mood lighting flight nyc sfo need cabaret singer think
neutral,done need receipt asap could please help
negative,embossed badge patch superior one currently using httptcofqxelbon
negative,vx jfk la dirty plane standard
negative,flight vx headed la jfk dirtiest va plane ever sad great airline
positive,got squared away someone picked soon tweeted tweeted sooner
negative,avis rental continue button doesnt work website book car tried time phone suck
negative,delayed
negative,currently minute hold cust service need anything add lap child reservation
neutral,add pillow instead lieflat seat first class arm race httptcosfjduahxz
positive,course fun celebrating thanks happy chinese new year
positive,flight booking problem last second flight next week sfo san chance want gift promo code since love guy
negative,comenity bank joke please change nothing constant problem bank
neutral,dm u also add
positive,grandma ellas th would lt bday greeting flight crew stewardess eastern airline
positive,bought tix atx dallas route thanks adding love yr airline amp yr website best transactional site ever
neutral,anytime sugafly
positive,gave credit late flight flight yesterday great service thats wow moment unexpected gesture
neutral,need receipt flight change send one
negative,submitted status match request back still havent heard im flying monday look accelerate
positive,safety video httptcocqmmnuem loved first cross country flight livewelltraveled sytycd
positive,doesnt look fat look yummy
neutral,ceo say southwest amp jetblue strayed low cost model httptcosctomh
neutral,brilliant brisk boston cue vx httptcormznivgmg
neutral,atlantic plough lone furrow middleeast httptcofvudmhpf
neutral,atlantic plough lone furrow middleeast httptcodcoboknee
neutral,atlantic plough lone furrow middleeast httptcovwpttlh
positive,omg omg nonstop dallas austin virgin
positive,plane really pretty thought u know
neutral,flying hawaii
negative,im pulling hair trying book flight u site doesnt work iphone ipaddont computer help
positive,thank
negative,get help support ticket day incident thank
positive,good home texas moodlighting httptconbvztyzi
negative,cannot even open laptop seat c paid premium let
negative,seat c cannot even open laptop paid extra seat
neutral,guy starting flight end month guess im still road tripping feb
positive,thanks needing way make austin trip dca youve come
neutral,announced new route austin wfares way httptcogapbamuc
neutral,really sprint thought guy kewl _
positive,cool never ur plane
neutral,dollar laxlas fare
positive,great well deserved
negative,fyi infocom email address say contact password reset email doesnt exist email bounce
negative,status match week gone newsflt next week hope flt count towards requirement cust svc help
negative,website suck donkey dick thought know best
neutral,still develop app favorite airline
negative,crap channel pay watch uk tv
positive,got set thanks
neutral,channel year
neutral,thing see passbook virgin mobile mexico integrate
positive,giant virgin america match made heaven
positive,thank goodness also see friday nwkgtsf boom
negative,come dont iphone app still using making waste paper
negative,back seat entertainment system accept credit card apostrophe surname apostrophefail
negative,vx use lga slot instead today adding au make less likely
neutral,helping step game tindertips tinderchamp httptcojbmvvhaa
positive,luv ur people product thing u charge herbal tea black tea im caffeine drinker
positive,thank see yall soon im excited see expansion destination spread wing
neutral,announces new nonstop connecting amp intro httptcoqxnoaqtyn httptcojkqmdfqgf
neutral,add austindallas love field route httptcoxwjolflh httptcoyaormfkac
negative,sad learn longer fly sfo gt phl hope return
neutral,tweet cancelled flightchng fee flight rebook one affiliate afiliates
positive,incredible customer service ive ever experienced refreshing
neutral,see virginamerica come philadelphia phl
positive,dreaming really open route dallas austin mean houston might next
positive,omg finally
neutral,start xweekly flight dallas austin apr avgeek
neutral,nice see expanding texas dont forget u sandiego would love see flight
negative,kinda sucked earphone jack didnt work flight may want look future passenger
negative,poor experience first computer problem seat malfunction stuck missing meeting san diego
neutral,battle route httptcorlzebkx via
positive,thankyou dalaus route make day
positive,awesome deal dalaus way httpstcoxcvqxykg
neutral,miss nerdbird san jose
positive,love taking backyard consumer win biz competes
positive,flying love austin excellent news
neutral,make every vx plane nerdbird austin one getting nerd love
neutral,please add frequency pdx portland
positive,congrats vx new route
negative,tried offered charge additional k new ticket stranded thurs st time last time
neutral,u help flight get old battling cancer need treatment _fund
negative,never bad experience one took cake extortion carry item well
negative,spend hour worrying item carryon would brokenstolen since couldnt carry plane lock bag
negative,group e told room bin got plane room least bag row
negative,thanks making flight lax jfk nightmare forcing check carry bag gate
negative,lot flight book site working ive phone waiting minute
positive,flight artisanal cheese wine pairing
neutral,virgin america fly direct seattle nyc boston
positive,thats classy
positive,im sure lot jfklhr flight go lot faster mph strong tailwind
positive,tminus minute elevate silver upgrade window open freeneversucks
neutral,save tomorrow
negative,taking year fly home dallas get shit together
neutral,club virgin bumping new york httptcohaqcgdgc
positive,would rough trip luckily virginamerica flight weather
neutral,thestarter
neutral,please come minneapolis st paul
neutral,yes fyi bff
positive,another perfect flight come plane sun visor stay carrier make raise
positive,nice man steel might faster wifi saying sciencebehindtheexperience httptcofgrbpazsix
positive,love dancing little richard cool bean
positive,dont use passbook still love though lt ill use email future
positive,thanks free birthday point yall right
neutral,application io looking saw virgin mexico lt
negative,man steel fly city thoughand frequency
positive,thanks much sharing added site httptcotsvibtvth
neutral,good point
neutral,heard virgin mobile hotspot
neutral,got cheese plate flight
neutral,flight
positive,dad segway best part whole infographic
positive,plan short haul airline europe would defiantly fly guy
positive,wifi better seating
neutral,come abc one network channel dont
negative,started flight scolding using overhead bin offered person seated next
positive,great return call day couldnt ask myvxexperience
negative,airline werent cancelled flighting flight bos helping customer get home virgin saying good luck
neutral,dear virgin customer youre stranded sf day amp cost well least accommodate
neutral,use next airline commercial lol httptcopxexilsjbs
negative,grouping virgin others bos weather exposed actual cu serv model never flight booking problem virgin
negative,one traveler affected boston storm im shocked virgin complete apathy toward customer
negative,umm reason someone different contact contact get definitive answer
negative,trying make change advance hour priortried online earlier wanted change fee
positive,loyal im driving nyc pa fly virgin since cut philly flight
neutral,way change main cabin main cabin select flight without paying change fee penalty
positive,guy perfect always lt wervirgin
positive,thanks yall best customer service left industry
neutral,give silver status month
positive,really wish youd fly fargo fare amazings
negative,mood lighting point reclining seat kickin foot
negative,flight scheduled pm departure still say time plane gate update long delay
negative,group got cancelled flightlation fee waived cant ticket booked rep help either
neutral,sign bonus enroll elevate
positive,got pm newark home la folk ewr incredible letsgohome
neutral,morning question regarding elevate point amp flight dm
neutral,still waiting see _dev_
neutral,wondering guy recieved dm able potentially respond asap
positive,flying lax sfo looking awesome movie lineup actually wish long haul
neutral,book town fare way restr httptcoxrdtovnl httptcoybyackc
positive,thanks
positive,thanks taking care mr happy customer
negative,still refund word via dm please resolve issue cancelled flightled flight useless assistant trip
negative,delayed due lack crew delayed there long line deicing still need improve service united
positive,thanks filled hows luck common
negative,eriord express connection hugely popular could eriewr hop
neutral,even international flight glasgow u orlando newark min
negative,think boarded flight au early think
neutral,understand tough way get airport wo serious risk accident steep price
negative,gate agent hooked alternate flight way prevent constant issue would rock
neutral,flying glamco week long airport departure international domestic ta
positive,thanks
positive,thanks ticket
neutral,law policy
negative,worst nonrefundable first class ticket oh select globalfc system auto selects economy wupgrade
negative,buy tix day flight cant transfer tix flawed security logic flawed customer service
negative,start claim week unrealistic really supposed go long car seat childridiculous
positive,follow please airline beautifull
neutral,dont im sure united info system
negative,car seat lost reimburse new one pair shoe necessity child
neutral,submitted response link sent
neutral,yes david allan send email number kmmvlkm case
negative,totally suck cousin worked phl said
positive,wanted let know wonderful rosetta gate agent working flight dan ase let know wasappreciated
neutral,yes paper voucher got january th
negative,beginning feb called united said would send another voucher mail never got anything tiredofwaiting
negative,internet great thing emailing executive company maybe respond timely manner
neutral,need use chase united club pas yr old son come pas
neutral,suppose number
negative,thats weak see ya hey
negative,flew back w company since united didnt earlier flight
neutral,lost voucher given miami aeroport jan use
negative,trying book award september need flight show even w many award seat availab
negative,sure drive total hour get bag id like explain debacle one want talk
neutral,gee thats like almost caring ppl think im int trusted adult w daughter
negative,see told repeatedly pilot late flight kept getting late flightr boarded defibrillator issue
negative,preferred security line anymore tsa precheck didnt pull partner flight platinum spoiled
negative,newarkliberty airport need indicate different gate terminal aampc flyingainteasy
negative,yes please newly married trying update last name preexisting international flight seems easy
negative,united refuse reissue lost voucher plane didnt take due mechanic badcustomerservice
negative,also run instructed shattered computer httptcooaflfrwxb
negative,yes weve agent last minute one agent rude thankfully ladan nice
neutral,thats right overnight miami
neutral,client hr layover iah day claim amp recheck luggage taken care
neutral,trying find loaner seat new used used car seat illegal according safety regulation
neutral,dmed detail
negative,iah charlotte baggage claim rep latrice h customerservice non existent ignored customer inappropriately touched customer
neutral,kewl also let know overhead bin row inop love good abbreve
positive,thanks helpgot need issue _austrian guess sit awhile longer
negative,would loved respond website saw really long form business new seat bad
negative,refund flight voucher another flight different airline expense today hour drive inconvenient
negative,received call back daysits infant car seat supposed go anywhere child
neutral,thanks concern contact customer care upon return australia
negative,well sitting ground time waiting gateagain tiredofthis
positive,airport snow removal method keep good work folk cessnas become httptcovtmusjvu
negative,need guy book plane concern ill travel someone else moving forward
negative,measly ecertificate appreciate loyal customer wait hr tarmac ua unacceptable
negative,email addressusername signon available
positive,thank able claim interim expense cost stuff
negative,rude rude
negative,cant get boarding pas austrian airline codeshare flight rebook incls hour layover amp stuck outside sec
negative,received flight united truly break guitar unitedbreaksguitars wantmymoneyback
negative,flew telaviv paid third suitcase didnt even make plane besides impolite service
negative,bag still colo spring disabled search unfamiliar airport look bag good outcome
negative,shame there flex ticket transfer rule even calling neurosurgery icu isnt enough
negative,denver said dont handle baggage made colo spring gave number call help either
negative,guy need serious training customer service many better option put way guy handle ur mistake
neutral,ord dca
negative,found problem avoided like plague told cant find supervisor
negative,zccu cancelled flight flight h advance need connect flight reschedule link isnt helping help gf waited month see
negative,flying
negative,addition first flight delayed hour im arriving destination hr late flight
neutral,cancelled flighted flight didnt rebook u added flight drive denver kcthanks
neutral,announcement pre boarding address mobility disability requires travel lot stuff preboard
positive,flew united last month experience awesome
negative,travel booked thru united group dept okc ticket agent less willing help connection lax
negative,v upset disability service told one employee carrying medical equipment rude
negative,thnx quick reply dont think assist intl grp put considerable inconvenience today
negative,wont transfer flight ticket accompany yr old who active military mom emergency brain surgery wow
negative,week late flightr still received mile mileageplus gift card starbucks card handed
negative,k im always hoping improvement
negative,yet complained guy checked luggage throwing bag around unfortunate coincidence hope
negative,okc ticket agent roger mclarrensp less helpful intl group travel problem cant find supervisor help
negative,mobile apps need construction ground o category expensive get right
negative,another fail united ticket agent okc less helpful could care less problem american come
positive,also working wc coach good thing bird landed ahead schedule use wc stat
neutral,o isnt controlled rather app new
negative,sent email customer care telling may break sincerely hope help
negative,silly im flying delta today united club staff attendant surly unhelpful always seem bothered pesky folk
negative,phone number cant find call flight reservation
negative,well cant fix missing buddy th bday negligence attempt make
negative,believe help customer service couldnt like said want number someone fix
negative,helped baggage service desk said bc tsa screening fll bag made bag ewr
negative,mobile boarding pas disappeared phone standing line board second time week hmm
positive,record rozana newark lovely helpful choosekind
neutral,last night ordlga
positive,thx update
neutral,thank
neutral,dm nut
negative,explain eager flight attendant trying ask vision guide dog
negative,whats point asking detail servicedog book flight crew doesnt read continued
negative,tried one available bogota everyone rude houston stuck hour guy
negative,worstunitedflightsever ua la iad mechanical problem took land fix delayed wtfodds
positive,despite bag making newark good informative email tracking update help
negative,whats going ua outbound flight last thurs delayed hr long delay worstunitedflightsever
negative,worstunitedflightsever ua iad la mechanical problem switched aircraft delayed hour
negative,crashed trying check
positive,wow deal plus seat available easy change make customer happy
neutral,thanks info already knew
neutral,airline trouble winter amp getting good customer service contact httptcoaqjnhwnac negotiate resolution
negative,logan boarding gong show due lax carry enforcement bin full coat room bag u need better system
neutral,thank
negative,blackmailed paying extra return ticket nullified san francisco airport terrible service rep scam
neutral,email address reach long dm
negative,disappointed u didnt honor credit given ur mistake taking business elsewhere
negative,ua still waiting supposed depart
negative,credit last trip never came mail
